descended_hunt: pool 108 primes [3..600], ω 4..6, product [1e9..1e12]

  outer 1/108  tested 141532  valid-m' 17348363  hits 0  264s  ETA<~7h51m  (536/s)   
  outer 1/108  tested 142400  valid-m' 17596476  hits 0  268s  ETA<~7h58m  (531/s)   
  outer 1/108  tested 143741  valid-m' 17803397  hits 0  272s  ETA<~8h05m  (528/s)   
  outer 1/108  tested 144522  valid-m' 18029487  hits 0  276s  ETA<~8h12m  (523/s)   
  outer 1/108  tested 145279  valid-m' 18236643  hits 0  280s  ETA<~8h19m  (519/s)   
  outer 1/108  tested 146308  valid-m' 18444338  hits 0  284s  ETA<~8h26m  (515/s)   
  outer 1/108  tested 147932  valid-m' 18643034  hits 0  288s  ETA<~8h33m  (513/s)   
  outer 1/108  tested 149602  valid-m' 18861318  hits 0  292s  ETA<~8h41m  (512/s)   
  outer 1/108  tested 150339  valid-m' 19078848  hits 0  296s  ETA<~8h48m  (508/s)   
  outer 1/108  tested 151048  valid-m' 19295611  hits 0  300s  ETA<~8h55m  (503/s)   
  outer 1/108  tested 152291  valid-m' 19514362  hits 0  304s  ETA<~9h02m  (501/s)   
  outer 1/108  tested 153302  valid-m' 19716536  hits 0  308s  ETA<~9h09m  (497/s)   
  outer 1/108  tested 154109  valid-m' 19923222  hits 0  312s  ETA<~9h16m  (494/s)   
  outer 1/108  tested 155215  valid-m' 20126291  hits 0  316s  ETA<~9h23m  (491/s)   
  outer 1/108  tested 156240  valid-m' 20312298  hits 0  320s  ETA<~9h31m  (488/s)   
  outer 1/108  tested 156949  valid-m' 20513531  hits 0  324s  ETA<~9h38m  (484/s)   
  outer 1/108  tested 157944  valid-m' 20707556  hits 0  328s  ETA<~9h45m  (481/s)   
  outer 1/108  tested 158820  valid-m' 20899314  hits 0  332s  ETA<~9h52m  (478/s)   
  outer 1/108  tested 159845  valid-m' 21082700  hits 0  336s  ETA<~9h59m  (475/s)   
  outer 1/108  tested 160608  valid-m' 21264820  hits 0  340s  ETA<~10h06m  (472/s)   
  outer 1/108  tested 161517  valid-m' 21438882  hits 0  344s  ETA<~10h13m  (469/s)   
  outer 1/108  tested 162250  valid-m' 21618144  hits 0  348s  ETA<~10h20m  (466/s)   
  outer 1/108  tested 163246  valid-m' 21791366  hits 0  352s  ETA<~10h28m  (463/s)   
  outer 1/108  tested 164165  valid-m' 21957025  hits 0  356s  ETA<~10h35m  (461/s)   
  outer 1/108  tested 164803  valid-m' 22115850  hits 0  360s  ETA<~10h42m  (457/s)   
  outer 1/108  tested 165757  valid-m' 22273659  hits 0  364s  ETA<~10h49m  (455/s)   
  outer 1/108  tested 166588  valid-m' 22411056  hits 0  368s  ETA<~10h56m  (452/s)   
  outer 1/108  tested 168104  valid-m' 22688613  hits 0  372s  ETA<~11h03m  (452/s)   
  outer 1/108  tested 169276  valid-m' 22968669  hits 0  376s  ETA<~11h10m  (450/s)   
  outer 1/108  tested 170513  valid-m' 23248406  hits 0  380s  ETA<~11h18m  (448/s)   
  outer 1/108  tested 172402  valid-m' 23555741  hits 0  384s  ETA<~11h25m  (449/s)   
  outer 1/108  tested 173991  valid-m' 23850490  hits 0  388s  ETA<~11h32m  (448/s)   
  outer 1/108  tested 175100  valid-m' 24137318  hits 0  392s  ETA<~11h39m  (446/s)   
  outer 1/108  tested 177153  valid-m' 24431909  hits 0  396s  ETA<~11h46m  (447/s)   
  outer 1/108  tested 178702  valid-m' 24737751  hits 0  400s  ETA<~11h53m  (446/s)   
  outer 1/108  tested 180125  valid-m' 25014724  hits 0  404s  ETA<~12h00m  (446/s)   
  outer 1/108  tested 182293  valid-m' 25297536  hits 0  408s  ETA<~12h08m  (446/s)   
  outer 1/108  tested 183267  valid-m' 25586469  hits 0  412s  ETA<~12h15m  (445/s)   
  outer 1/108  tested 184233  valid-m' 25846545  hits 0  416s  ETA<~12h22m  (443/s)   
  outer 1/108  tested 185026  valid-m' 26095137  hits 0  420s  ETA<~12h29m  (440/s)   
  outer 1/108  tested 186009  valid-m' 26364855  hits 0  424s  ETA<~12h36m  (438/s)   
  outer 1/108  tested 187149  valid-m' 26606062  hits 0  428s  ETA<~12h43m  (437/s)   
